                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5767,                 11.531,                 6.7885,                0.28269,                0.13477,                0.09549,                0.03432,                 5.5062,                 5.1342,                 5.0991,              0.0033312,              0.0033312,              0.0033312
                      2,                 3.3361,                 2.8843,                 3.8616,                0.44431,                0.29431,                0.27921,                0.10412,                 4.7084,                 4.0273,                 3.9045,              0.0065986,              0.0065986,              0.0065986
                      3,                 3.1018,                 2.2817,                 3.4723,                0.51422,                 0.3986,                 0.3899,                0.15245,                 4.4014,                 3.6652,                 3.4425,              0.0097999,              0.0097999,              0.0097999
                      4,                 2.9976,                 1.9985,                 3.3274,                0.62362,                0.45327,                 0.4719,                 0.1978,                 4.2254,                 3.0185,                 3.2991,               0.009703,               0.009703,               0.009703
                      5,                  2.883,                 1.7852,                  3.202,                0.62999,                0.49777,                0.50472,                0.21367,                 4.0199,                 2.7864,                 3.1088,               0.009604,               0.009604,               0.009604
                      6,                 2.7993,                 1.6526,                 3.1408,                0.69944,                0.50985,                0.56941,                0.24971,                 3.8845,                  2.629,                 3.0382,               0.009505,               0.009505,               0.009505
                      7,                 2.7665,                 1.5869,                 3.1044,                0.70103,                0.55372,                 0.5913,                0.26006,                 3.9877,                 2.4398,                 3.0672,               0.009406,               0.009406,               0.009406
                      8,                  2.729,                 1.5276,                 3.0707,                0.71776,                0.56008,                0.60603,                0.27251,                 3.7805,                 2.4205,                  2.974,               0.009307,               0.009307,               0.009307
                      9,                 2.6985,                 1.4754,                 3.0399,                0.69057,                0.59023,                0.62735,                0.27778,                 3.7795,                 2.3556,                  2.926,               0.009208,               0.009208,               0.009208
                     10,                 2.6717,                 1.4303,                 3.0195,                0.71112,                0.60076,                0.63829,                0.29569,                 3.6751,                  2.257,                 2.8901,               0.009109,               0.009109,               0.009109
